num,value
0,12
1,7
2,10
3,18
4,7
5,5
6,8
7,16
8,5
9,7
10,13
11,14
12,9
13,26
14,23
15,24
16,16
17,21
18,22
19,23
20,5
21,19
22,8
23,31
24,27
25,16
26,27
27,32
28,12
29,27
30,12
31,22
32,21
33,17
34,13
35,16
36,33
37,24
38,25
39,15
40,10
41,8
42,11
43,8
44,10
45,16
46,6
47,16
48,14
49,12
50,7
51,19
52,14
53,12
54,10
55,3
56,13
57,9
58,21
59,14
60,3
61,13
62,13
63,20
64,8
65,9
66,6
67,12
68,10
69,19
70,7
71,8
72,15
73,17
74,15
75,15
76,14
77,7
78,15
79,10
80,5
81,15
82,16
83,16
84,10
85,9
86,16
87,19
88,7
89,20
90,8
91,14
92,18
93,14
94,8
95,3
96,9
97,11
98,14
99,5
100,29
101,47
102,42
103,88
104,65
105,49
106,48
107,59
108,77
109,51
110,34
111,29
112,54
113,96
114,55
115,52
116,67
117,84
118,68
119,53
120,31
121,58
122,91
123,87
124,97
125,113
126,99
127,104
128,96
129,88
130,39
131,36
132,13
133,15
134,34
135,36
136,23
137,29
138,33
139,24
140,3
141,21
142,14
143,21
144,12
145,17
146,19
147,27
148,18
149,14
150,4
151,17
152,14
153,27
154,11
155,12
156,23
157,16
158,27
159,26
160,7
161,11
162,24
163,49
164,37
165,37
166,6
167,13
168,49
169,22
170,14
171,10
172,12
173,29
174,16
175,26
176,16
177,8
178,37
179,13
180,5
181,8
182,15
183,25
184,17
185,15
186,14
187,10
188,11
189,15
190,7
191,5
192,19
193,41
194,22
195,34
196,13
197,13
198,19
199,4
200,39
201,14
202,18
203,19
204,16
205,24
206,31
207,20
208,24
209,23
210,57
211,44
212,41
213,62
214,53
215,73
216,76
217,74
218,72
219,48
220,37
221,58
222,49
223,75
224,37
225,53
226,50
227,53
228,39
229,15
230,20
231,30
232,14
233,13
234,22
235,54
236,46
237,36
238,46
239,17
240,18
241,17
242,19
243,24
244,16
245,28
246,58
247,29
248,39
249,14
250,14
251,24
252,21
253,27
254,24
255,11
256,63
257,37
258,57
259,26
260,11
261,16
262,13
263,31
264,10
265,24
266,9
267,29
268,24
269,33
270,6
271,16
272,14
273,35
274,30
275,31
276,15
277,9
278,24
279,21
280,9
281,17
282,7
283,53
284,16
285,23
286,23
287,15
288,14
289,25
290,6
291,21
292,6
293,27
294,19
295,16
296,24
297,15
298,23
299,8
300,31
301,32
302,23
303,22
304,20
305,34
306,21
307,35
308,42
309,32
310,108
311,31
312,79
313,55
314,94
315,133
316,89
317,89
318,81
319,66
320,58
321,57
322,49
323,56
324,87
325,100
326,133
327,107
328,82
329,83
330,38
331,51
332,19
333,73
334,21
335,25
336,13
337,15
338,24
339,21
340,9
341,17
342,17
343,14
344,14
345,34
346,31
347,19
348,24
349,17
350,11
351,55
352,38
353,17
354,55
355,12
356,68
357,68
358,154
359,57
360,10
361,30
362,38
363,30
364,25
365,43
366,11
367,31
368,60
369,107
370,15
371,51
372,31
373,50
374,45
375,94
376,30
377,14
378,51
379,46
380,17
381,38
382,44
383,15
384,50
385,74
386,46
387,30
388,12
389,42
390,32
391,34
392,31
393,28
394,35
395,35
396,52
397,35
398,34
399,18
400,29
401,24
402,26
403,29
404,16
405,43
406,19
407,21
408,18
409,20
410,43
411,35
412,47
413,60
414,44
415,62
416,74
417,74
418,49
419,64
420,43
421,65
422,32
423,56
424,37
425,68
426,65
427,51
428,73
429,62
430,32
431,15
432,19
433,6
434,5
435,13
436,10
437,13
438,21
439,20
440,9
441,11
442,2
443,21
444,30
445,14
446,10
447,2
448,10
449,10
450,11
451,20
452,17
453,24
454,10
455,25
456,17
457,22
458,15
459,16
460,24
461,23
462,23
463,51
464,23
465,38
466,40
467,52
468,35
469,37
470,22
471,47
472,26
473,34
474,17
475,42
476,32
477,31
478,49
479,38
480,22
481,13
482,14
483,14
484,6
485,16
486,18
487,16
488,17
489,14
490,8
491,15
492,8
493,15
494,17
495,18
496,20
497,5
498,14
499,7
500,29
501,24
502,35
503,34
504,15
505,15
506,23
507,13
508,24
509,24
510,58
511,36
512,88
513,83
514,61
515,57
516,87
517,81
518,79
519,50
520,38
521,84
522,51
523,74
524,73
525,54
526,69
